generation,prompt_id,score,prompt
gen1,gen1_03,0,"Instruct: Search
Query: "
gen1,gen1_04,0,"Instruct: Explore
Query: "
gen1,gen1_05,0,"Instruct: Fetch
Query: "
gen1,gen1_06,0,"Instruct: Acquire
Query: "
gen1,gen1_07,0,"Instruct: Probe
Query: "
gen1,gen1_08,0,"Instruct: Uncover
Query: "
gen1,gen1_09,0,"Instruct: Access
Query: "
gen1,gen1_10,0,"Instruct: Scan
Query: "
gen1,gen1_11,0,"Instruct: Seek
Query: "
gen2,gen2_00,0.8678333333333331,
gen2,gen2_05,0.8661461111111113,Retrieve
gen2,gen2_08,0.8645722222222223,Search for
gen2,gen2_06,0.8643766666666666,Look up
gen2,gen2_10,0.8640433333333334,Search documents
gen2,gen2_04,0.8639705555555555,Get
gen2,gen2_16,0.8638866666666667,Retrieve relevant
gen2,gen2_15,0.8638138888888888,Find documents
gen2,gen2_19,0.8636788888888889,Retrieve
gen2,gen2_03,0.8634894444444446,","
gen2,gen2_01,0.8633755555555553,Find
gen2,gen2_11,0.8633333333333334,
gen2,gen2_02,0.8629599999999998,Search
gen2,gen2_07,0.8628888888888889,Find it
gen2,gen2_03,0.8625555555555556,Query
gen2,gen2_21,0.8621027777777777,Identify
gen2,gen2_19,0.8618855555555556,Get answer
gen2,gen2_09,0.8615450000000001,?
gen2,gen2_17,0.8612094444444442,Search text
gen2,gen2_13,0.8611222222222222,Find answer
gen2,gen2_09,0.8610533333333333,Find relevant
gen2,gen2_14,0.8608616666666667,.
gen2,gen2_17,0.8608283333333334,;
gen2,gen2_01,0.8605777777777779,-
gen2,gen2_12,0.8604683333333334,Get relevant
gen2,gen2_15,0.8603605555555556,"Instruct
"
gen2,gen2_14,0.8602366666666668,Search corpus
gen2,gen2_08,0.8600505555555557,=
gen2,gen2_10,0.8597405555555556,Execute:
gen2,gen2_07,0.8595650000000001,Find:
gen2,gen2_11,0.8593794444444445,Find matching
gen2,gen2_22,0.8582533333333333,- -
gen2,gen2_23,0.8578033333333334,Uncover
gen2,gen2_24,0.85746,Observe
gen2,gen2_13,0.8571599999999999,Discover
gen2,gen2_20,0.8571272222222223,Find relevant
gen2,gen2_12,0.857083888888889,Seek
gen2,gen2_16,0.8567738888888888,Look:
gen2,gen2_02,0.8555649999999999,"Instruct: Act specifically
"
gen2,gen2_04,0.8555133333333333,"Instruct: Synthesize
"
gen2,gen2_18,0.8554727777777777,Find passage
gen2,gen2_00,0.853757777777778,"Instruct: Act
"
gen2,gen2_06,0.85351,Choose
gen2,gen2_18,0.852865,"Instruct: Locate
"
gen2,gen2_05,0.8488744444444444,"Instruct: Refine
"
gen3,gen3_00,0.8678333333333331,
gen3,gen3_09,0.8648388888888889,Retrieve in matching language
gen3,gen3_06,0.8639716666666666,Language-aware retrieval:
gen3,gen3_04,0.8632549999999999,Search in the query's language
gen3,gen3_02,0.8632422222222222,Find relevant documents in any language
gen3,gen3_15,0.8626938888888888,Find in native language
gen3,gen3_11,0.8625438888888889,Any language:
gen3,gen3_13,0.8618188888888887,Language match:
gen3,gen3_12,0.8617366666666667,Same language search:
gen3,gen3_03,0.8616566666666665,Multilingual search:
gen3,gen3_08,0.861491111111111,Cross-lingual search:
gen3,gen3_01,0.8611200000000001,Identify language and find relevant passages
gen3,gen3_14,0.8610972222222222,Multilingual:
gen3,gen3_18,0.8605777777777779,-
gen3,gen3_12,0.8601927777777777,"Retrieve Essential
"
gen3,gen3_09,0.8600822222222224,"Brief Overview
"
gen3,gen3_05,0.8598538888888889,Match language and find relevant
gen3,gen3_02,0.8595466666666666,"Essential Info
"
gen3,gen3_13,0.8589355555555556,"Retrieve Core Info
"
gen3,gen3_01,0.8586299999999999,"Instruct: Retrieve
"
gen3,gen3_17,0.8584211111111112,--
gen3,gen3_07,0.8581727777777777,"Concise Extract
"
gen3,gen3_03,0.8581577777777779,"Relevant Data
"
gen3,gen3_04,0.8577305555555557,"Core Details
"
gen3,gen3_15,0.8577211111111112,"Instruct: Identify
"
gen3,gen3_16,0.8572094444444445,"Target Info
"
gen3,gen3_06,0.8560261111111112,"Key Points
"
gen3,gen3_10,0.8558494444444444,"Detect language, find relevant"
gen3,gen3_05,0.8557238888888888,"Instruct: Explore
"
gen3,gen3_21,0.8554677777777777,"Instruct: Gather
"
gen3,gen3_00,0.8553122222222223,"Instruct: Find
"
gen3,gen3_20,0.854913888888889,- Primary Info
gen3,gen3_07,0.8549072222222223,Find passages in same language
gen3,gen3_14,0.8547761111111111,"Focus: Key Data
"
gen3,gen3_24,0.8521616666666666,"Targeted Insights
"
gen3,gen3_08,0.8521327777777779,"Instruct: Collate
"
gen3,gen3_22,0.8514738888888888,"Instruct: Assemble
"
gen3,gen3_19,0.8503683333333334,- Essential Elements
gen3,gen3_23,0.8499072222222221,"Central Elements
"
gen3,gen3_10,0.848145,-- Key Elements
gen3,gen3_11,0.8448816666666666,-- Core Data
gen4,gen4_00,0,
gen4,gen4_01,0,查找
gen4,gen4_02,0,بحث
gen4,gen4_03,0,検索
gen4,gen4_04,0,Поиск
gen4,gen4_05,0,Recherche
gen4,gen4_06,0,Búsqueda
gen4,gen4_07,0,Suche
gen4,gen4_08,0,खोज
gen4,gen4_09,0,→
gen4,gen4_10,0,⟹
gen4,gen4_11,0,◉
gen4,gen4_12,0,▶
gen4,gen4_13,0,✓
gen4,gen4_14,0,🔍
gen4,gen4_15,0,.
gen4,gen4_16,0,..
gen4,gen4_17,0,...
gen4,gen4_18,0,•
gen4,gen4_19,0,—
gen4,gen4_00,0,
gen4,gen4_01,0,查找
gen4,gen4_02,0,بحث
gen4,gen4_03,0,検索
gen4,gen4_04,0,Поиск
gen4,gen4_05,0,Recherche
gen4,gen4_06,0,Búsqueda
gen4,gen4_07,0,Suche
gen4,gen4_08,0,खोज
gen4,gen4_09,0,→
gen5,gen5_00,0,
gen5,gen5_01,0,find/찾기/查找
gen5,gen5_02,0,search/検索/بحث
gen5,gen5_03,0,[query]
gen5,gen5_04,0,{q}
gen5,gen5_05,0,<search>
gen5,gen5_06,0,$$
gen5,gen5_07,0,##
gen5,gen5_08,0,@@
gen5,gen5_09,0,%%
gen5,gen5_10,0,&&
gen5,gen5_11,0,++
gen5,gen5_12,0,==
gen5,gen5_13,0,~~
gen5,gen5_14,0,^^
gen5,gen5_15,0,``
gen5,gen5_16,0,||
gen5,gen5_17,0,\\
gen5,gen5_18,0,//
gen5,gen5_19,0,**
gen5,gen5_00,0,
gen5,gen5_01,0,find/찾기/查找
gen5,gen5_02,0,search/検索/بحث
gen5,gen5_03,0,[query]
gen5,gen5_04,0,{q}
gen5,gen5_05,0,<search>
gen5,gen5_06,0,$$
gen5,gen5_07,0,##
gen5,gen5_08,0,@@
gen5,gen5_09,0,%%
gen5,gen5_10,0,&&
gen6,gen6_00,0,
gen6,gen6_01,0, 
gen6,gen6_02,0,  
gen6,gen6_03,0,	
gen6,gen6_04,0,"
"
gen6,gen6_05,0,a]
gen6,gen6_06,0,[a
gen6,gen6_07,0,0
gen6,gen6_08,0,1
gen6,gen6_09,0,_
gen6,gen6_10,0,__
gen6,gen6_11,0,___
gen6,gen6_12,0,x
gen6,gen6_13,0,X
gen6,gen6_14,0,o
gen6,gen6_15,0,O
gen6,gen6_16,0,i
gen6,gen6_17,0,I
gen6,gen6_18,0,v
gen6,gen6_19,0,V
gen6,gen6_00,0,
gen6,gen6_01,0, 
gen6,gen6_02,0,  
gen6,gen6_03,0,	
gen6,gen6_04,0,"
"
gen6,gen6_05,0,a]
gen6,gen6_06,0,[a
gen6,gen6_07,0,0
gen6,gen6_08,0,1
gen6,gen6_09,0,_
gen99,gen99_00,0.8558455555555556,MIRACL:
gen99,gen99_06,0.8553438888888889,MIRACL document search
gen99,gen99_07,0.8550411111111111,For MIRACL:
gen99,gen99_01,0.8548744444444443,MIRACL query
gen99,gen99_02,0.8534338888888887,MIRACL search
gen99,gen99_09,0.8529338888888889,MIRACL multilingual search
gen99,gen99_08,0.8524805555555555,MIRACL benchmark query
gen99,gen99_05,0.8524288888888889,MIRACL find
gen99,gen99_03,0.8509600000000002,MIRACL retrieval
gen99,gen99_04,0.8442855555555555,MIRACL
gen99,gen99_00,0,MIRACL:
gen99,gen99_01,0,MIRACL query
gen99,gen99_02,0,MIRACL search
gen99,gen99_03,0,MIRACL retrieval
gen99,gen99_04,0,MIRACL
gen99,gen99_05,0,MIRACL find
gen99,gen99_06,0,MIRACL document search
gen99,gen99_07,0,For MIRACL:
gen99,gen99_08,0,MIRACL benchmark query
gen99,gen99_09,0,MIRACL multilingual search
